case_number,claimant,respondents,status
ARB/21/37,True Blue Development Limited and others,Grenada,Pending
ARB/21/36,Alpene Ltd,Republic of Malta,Pending
ARB/21/35,Vicat S.A.,Arab Republic of Egypt,Concluded
ARB/21/34,"IBT Group, LLC, IBT, LLC and Eurofinsa Concesiones e Inversiones, S.L.",Republic of Panama,Pending
ARB/21/33,Alamos Gold Holdings Coöperatief U.A. and Alamos Gold Holdings B.V.,Republic of Türkiye,Pending
ARB/21/32,Mehmet Zeki Obuz and others,Republic of Uzbekistan,Pending
ARB/21/31,Anglo American plc,Republic of Colombia,Concluded
ARB/21/30,Glencore International A.G.,Republic of Colombia,Pending
ARB/21/29,"Kaloti Metals & Logistics, LLC",Republic of Peru,Pending
ARB/21/28,APM Terminals Callao S.A.,Republic of Peru,Pending
ARB/21/27,Interconexión Eléctrica S.A. E.S.P.,Republic of Chile,Pending
ARB/21/26,Mainstream Renewable Power Ltd and others,Federal Republic of Germany,Pending
ARB/21/25,"Finley Resources Inc., MWS Management Inc., and Prize Permanent Holdings, LLC",United Mexican States,Pending
ARB/21/24,World Natural Resources Ltd,Republic of Congo,Pending
ARB/21/23,Imeks Insaat Makina Elektrik Konstrüksiyon Sanayi Limited Sirketi,Turkmenistan,Pending
ARB/21/22,"Uniper SE, Uniper Benelux Holding B.V. and Uniper Benelux N.V.",Kingdom of the Netherlands,Concluded
ARB/21/21,"KGL International for Ports, Warehousing, and Transport K.S.C.C.",Arab Republic of Egypt,Concluded
ARB/21/20,Visor Mühendislik Insaat Turizm Gida ve Mekanik Elektrik Taahhüt Ticaret Limited Sirketi and Gökhan Arasli,Turkmenistan,Concluded
ARB/21/19,Amir Masood Taheri,United Arab Emirates,Concluded
ARB/21/18,AECI Mauritius Ltd,Burkina Faso,Concluded
ARB/21/17,"Sanitek S.a.r.l., Sari Haddad and Elias Doumet",Republic of Armenia,Pending
ARB/21/16,"Riverside Coffee, LLC",Republic of Nicaragua,Pending
ARB/21/15,Misen Energy AB (publ) and Misen Enterprises AB,Ukraine,Pending
ARB/21/14,First Majestic Silver Corp.,United Mexican States,Pending
ARB/21/13,APG SGA SA and D.O.O. za promet i usluge Alma Quattro Beograd,Republic of Serbia,Pending
ARB/21/12,Optima Ventures LLC and Optima 55 Public Square LLC,United States of America,Concluded
ARB/21/11,"Optima Ventures LLC, Optima 7171 LLC and Optima 55 Public Square LLC",United States of America,Pending
ARB/21/10,Telefónica S.A.,Republic of Peru,Pending
ARB/21/9,Mauritanian Copper Mines S.A.,Islamic Republic of Mauritania,Pending
ARB/21/8,"WM Mining Company, LLC",Mongolia,Pending
ARB/21/7,Shell Petroleum N.V. and The Shell Petroleum Development Company of Nigeria Limited,Federal Republic of Nigeria,Concluded
ARB/21/6,Montero Mining and Exploration Ltd,United Republic of Tanzania,Pending
ARB/21/5,"United Group B.V., Adria Serbia Holdco B.V., and Serbia Broadband–srpske kablovske mreže d.o.o. Beograd",Republic of Serbia,Pending
